node_A,node_B,sign
0,1,-1
0,2,1
0,3,1
0,4,1
0,5,-1
0,6,-1
0,8,1
0,13,1
0,14,-1
0,17,-1
0,34,-1
0,41,-1
0,43,-1
0,46,-1
0,49,-1
0,53,-1
0,60,-1
0,61,1
0,62,-1
0,67,1
0,73,1
0,74,1
0,79,-1
0,109,-1
0,127,1
0,128,1
0,147,-1
0,148,-1
0,177,-1
0,228,1
0,276,1
0,316,1
0,319,-1
0,340,-1
0,351,-1
0,399,-1
0,412,-1
0,437,1
0,465,-1
0,478,-1
0,510,-1
0,541,1
0,542,1
0,614,1
0,623,-1
0,635,1
0,697,1
0,700,1
0,711,-1
0,826,1
0,894,-1
0,909,1
0,965,-1
0,994,-1
1,2,1
1,3,-1
1,4,1
1,5,-1
1,6,-1
1,8,1
1,9,1
1,11,1
1,13,1
1,15,-1
1,18,-1
1,21,-1
1,22,1
1,23,-1
1,32,-1
1,36,1
1,47,-1
1,52,1
1,54,-1
1,57,-1
1,63,1
1,64,1
1,68,1
1,81,1
1,90,1
1,101,-1
1,102,-1
1,107,1
1,123,1
1,128,1
1,130,-1
1,141,1
1,170,-1
1,171,-1
1,178,-1
1,180,-1
1,193,-1
1,241,-1
1,246,1
1,261,-1
1,264,-1
1,270,-1
1,277,1
1,291,1
1,295,-1
1,303,1
1,334,-1
1,354,1
1,378,1
1,398,-1
1,414,-1
1,468,-1
1,481,1
1,493,-1
1,530,1
1,546,1
1,560,-1
1,572,1
1,587,-1
1,589,1
1,591,1
1,602,-1
1,666,1
1,671,-1
1,675,1
1,697,-1
1,713,1
1,841,-1
1,844,-1
1,861,1
1,864,-1
1,898,1
1,916,1
1,941,-1
1,945,1
1,985,-1
1,999,-1
2,3,-1
2,4,-1
2,5,1
2,7,-1
2,8,1
2,11,1
2,12,1
2,20,-1
2,23,-1
2,24,1
2,26,1
2,28,-1
2,29,1
2,30,-1
2,35,-1
2,42,-1
2,45,-1
2,48,-1
2,67,-1
2,69,1
2,70,-1
2,72,1
2,87,-1
2,89,-1
2,91,1
2,96,-1
2,108,-1
2,115,1
2,120,-1
2,126,1
2,135,1
2,153,1
2,154,-1
2,156,1
2,170,-1
2,176,1
2,179,1
2,196,1
2,217,-1
2,240,-1
2,247,-1
2,269,-1
2,305,1
2,315,-1
2,328,-1
2,336,1
2,349,1
2,350,1
2,355,1
2,375,-1
2,389,1
2,394,1
2,430,-1
2,452,-1
2,481,-1
2,509,-1
2,510,1
2,515,-1
2,536,-1
2,538,-1
2,583,-1
2,586,-1
2,593,-1
2,626,1
2,631,1
2,644,1
2,753,1
2,776,1
2,778,-1
2,791,-1
2,797,-1
2,803,-1
2,824,1
2,886,-1
2,888,1
2,902,-1
2,962,-1
2,977,-1
2,983,-1
3,4,-1
3,7,-1
3,16,-1
3,19,1
3,21,1
3,22,-1
3,24,1
3,31,-1
3,40,-1
3,58,1
3,62,-1
3,63,-1
3,77,1
3,82,-1
3,95,1
3,106,-1
3,124,1
3,133,-1
3,142,1
3,163,-1
3,183,-1
3,233,1
3,237,1
3,239,-1
3,240,1
3,249,1
3,261,-1
3,308,-1
3,325,1
3,328,-1
3,331,1
3,360,-1
3,377,1
3,410,1
3,419,1
3,431,-1
3,435,-1
3,458,1
3,464,-1
3,492,-1
3,497,1
3,520,1
3,554,1
3,573,1
3,578,-1
3,584,-1
3,616,-1
3,672,1
3,691,-1
3,696,1
3,699,-1
3,712,1
3,716,-1
3,729,1
3,730,1
3,801,1
3,820,-1
3,866,1
3,900,-1
3,949,1
4,5,1
4,6,-1
4,8,1
4,9,1
4,10,1
4,12,-1
4,17,-1
4,20,1
4,21,-1
4,27,-1
4,28,1
4,30,-1
4,33,-1
4,35,1
4,37,1
4,39,1
4,43,1
4,50,-1
4,73,1
4,84,1
4,87,1
4,117,-1
4,126,1
4,138,-1
4,150,1
4,163,-1
4,173,1
4,174,1
4,226,1
4,231,1
4,271,-1
4,275,1
4,280,1
4,334,-1
4,339,1
4,356,-1
4,371,1
4,402,1
4,429,-1
4,434,-1
4,467,-1
4,522,1
4,576,1
4,580,-1
4,588,1
4,616,-1
4,617,-1
4,690,-1
4,692,1
4,702,1
4,703,-1
4,755,1
4,762,-1
4,815,1
4,821,-1
4,832,1
4,856,1
4,877,1
4,926,1
4,935,-1
4,975,-1
5,6,-1
5,7,-1
5,9,-1
5,10,1
5,12,1
5,14,1
5,15,-1
5,24,1
5,32,1
5,45,1
5,46,-1
5,53,1
5,54,-1
5,58,-1
5,59,-1
5,61,1
5,66,-1
5,77,1
5,94,1
5,108,1
5,117,-1
5,121,1
5,127,1
5,135,-1
5,141,1
5,145,1
5,151,-1
5,160,-1
5,163,1
5,164,-1
5,168,1
5,190,1
5,198,-1
5,209,1
5,224,-1
5,228,-1
5,238,-1
5,246,-1
5,257,1
5,265,1
5,267,1
5,278,-1
5,288,1
5,299,-1
5,303,1
5,329,1
5,331,-1
5,338,-1
5,345,1
5,349,-1
5,363,1
5,370,-1
5,373,1
5,374,1
5,381,-1
5,409,1
5,465,1
5,469,-1
5,507,-1
5,511,-1
5,513,-1
5,533,-1
5,549,-1
5,562,1
5,619,1
5,717,1
5,725,1
5,746,1
5,769,-1
5,820,1
5,827,1
5,834,1
5,844,-1
5,869,-1
5,878,1
5,895,-1
5,912,-1
5,931,-1
5,965,-1
6,7,-1
6,10,1
6,13,1
6,17,1
6,18,1
6,19,-1
6,23,1
6,25,-1
6,33,-1
6,41,1
6,48,1
6,49,1
6,57,1
6,64,1
6,84,1
6,85,-1
6,153,1
6,156,1
6,172,-1
6,175,1
6,186,1
6,203,1
6,233,-1
6,234,1
6,238,1
6,245,1
6,255,1
6,276,1
6,284,1
6,291,1
6,293,-1
6,315,1
6,320,-1
6,343,1
6,379,1
6,388,-1
6,391,-1
6,424,1
6,426,1
6,433,-1
6,467,1
6,470,1
6,507,-1
6,517,1
6,576,-1
6,649,1
6,679,1
6,722,1
6,740,1
6,769,1
6,814,-1
6,888,1
6,890,1
6,919,-1
6,996,1
7,10,1
7,15,1
7,16,-1
7,19,-1
7,26,1
7,27,-1
7,43,-1
7,47,-1
7,71,1
7,72,-1
7,74,-1
7,77,1
7,140,1
7,157,1
7,165,-1
7,217,1
7,223,1
7,252,-1
7,299,1
7,304,-1
7,401,1
7,425,1
7,437,1
7,460,1
7,580,1
7,615,-1
7,648,-1
7,661,1
7,662,-1
7,905,1
7,914,-1
7,933,1
8,9,-1
8,11,-1
8,16,1
8,32,-1
8,47,1
8,51,1
8,78,1
8,79,-1
8,89,-1
8,101,-1
8,162,1
8,215,-1
8,216,-1
8,310,-1
8,332,-1
8,348,1
8,402,-1
8,422,1
8,441,-1
8,442,1
8,500,1
8,574,-1
8,582,-1
8,657,1
8,668,1
8,686,-1
8,717,-1
8,754,-1
8,770,-1
8,939,1
8,961,-1
8,970,-1
8,979,1
9,13,-1
9,21,-1
9,25,1
9,29,-1
9,40,-1
9,44,1
9,90,1
9,111,-1
9,120,1
9,151,1
9,235,-1
9,258,-1
9,272,-1
9,279,1
9,282,1
9,299,1
9,300,-1
9,321,-1
9,333,-1
9,353,1
9,431,1
9,526,1
9,566,-1
9,650,-1
9,709,-1
9,736,-1
9,825,-1
9,900,1
9,910,1
10,11,-1
10,12,-1
10,14,-1
10,20,1
10,31,1
10,36,1
10,48,-1
10,60,1
10,69,1
10,82,1
10,85,1
10,87,-1
10,92,-1
10,97,1
10,99,-1
10,109,1
10,134,1
10,138,-1
10,145,-1
10,180,-1
10,181,1
10,265,-1
10,275,-1
10,292,1
10,301,1
10,321,1
10,345,1
10,351,-1
10,356,-1
10,366,-1
10,368,-1
10,415,1
10,449,-1
10,496,1
10,513,-1
10,590,-1
10,673,-1
10,675,1
10,676,-1
10,738,-1
10,757,1
10,791,1
10,792,1
10,861,-1
10,892,1
10,963,1
10,980,1
11,22,-1
11,29,1
11,45,-1
11,49,1
11,52,-1
11,63,1
11,99,-1
11,112,1
11,116,-1
11,227,-1
11,271,1
11,322,1
11,445,1
11,515,1
11,553,1
11,599,-1
11,645,1
11,705,1
11,748,-1
11,749,1
11,770,-1
11,782,1
11,913,1
12,31,-1
12,89,-1
12,260,1
12,294,1
12,410,-1
12,675,1
12,758,1
12,759,-1
12,822,-1
13,14,-1
13,15,1
13,16,-1
13,23,1
13,35,-1
13,37,1
13,38,1
13,50,-1
13,59,-1
13,73,-1
13,92,1
13,93,-1
13,107,-1
13,113,-1
13,115,-1
13,132,1
13,145,1
13,149,1
13,157,1
13,202,-1
13,208,1
13,210,1
13,219,1
13,230,1
13,243,1
13,347,-1
13,377,-1
13,387,-1
13,389,-1
13,403,-1
13,421,1
13,441,1
13,476,1
13,530,-1
13,608,-1
13,613,1
13,632,-1
13,649,1
13,660,-1
13,693,1
13,750,1
13,764,1
13,765,-1
13,814,-1
13,835,-1
13,857,-1
13,872,-1
13,915,-1
13,949,1
13,966,-1
13,993,-1
14,17,1
14,18,-1
14,52,1
14,61,1
14,105,-1
14,175,-1
14,206,-1
14,217,1
14,225,-1
14,253,1
14,294,1
14,333,-1
14,347,-1
14,366,-1
14,424,1
14,480,1
14,500,-1
14,556,1
14,637,-1
14,719,1
14,723,-1
14,755,1
14,761,-1
14,768,1
14,851,1
14,887,1
14,911,1
14,939,1
15,19,1
15,30,1
15,35,1
15,38,1
15,44,-1
15,56,-1
15,94,-1
15,100,-1
15,104,1
15,121,1
15,143,1
15,168,-1
15,238,-1
15,265,1
15,295,1
15,300,-1
15,370,1
15,373,1
15,393,-1
15,397,-1
15,420,-1
15,434,-1
15,557,-1
15,562,-1
15,610,-1
15,690,1
15,700,-1
15,704,1
15,761,-1
15,762,1
15,838,1
15,855,-1
15,856,1
15,917,1
15,998,-1
15,999,-1
16,18,1
16,28,-1
16,34,1
16,37,1
16,54,-1
16,62,1
16,63,1
16,76,-1
16,81,-1
16,110,1
16,144,1
16,177,1
16,219,-1
16,236,1
16,246,-1
16,252,-1
16,358,-1
16,361,-1
16,374,-1
16,378,1
16,384,1
16,429,1
16,451,-1
16,458,-1
16,532,1
16,596,-1
16,622,-1
16,639,1
16,645,-1
16,653,1
16,721,1
16,744,-1
16,809,1
16,817,1
16,855,-1
16,868,1
16,949,-1
17,49,-1
17,117,-1
17,158,-1
17,159,-1
17,169,1
17,247,1
17,412,1
17,418,-1
17,527,-1
17,634,-1
17,677,-1
17,707,-1
17,761,-1
17,766,1
17,810,-1
17,890,1
17,928,1
17,951,-1
18,24,1
18,27,-1
18,40,-1
18,46,-1
18,57,1
18,93,-1
18,113,-1
18,132,-1
18,140,-1
18,145,1
18,167,-1
18,169,1
18,185,-1
18,189,-1
18,204,1
18,258,1
18,292,-1
18,296,-1
18,316,1
18,341,1
18,362,1
18,396,1
18,474,1
18,492,1
18,502,1
18,510,1
18,519,1
18,587,1
18,656,1
18,666,-1
18,692,1
18,713,-1
18,754,-1
18,822,1
18,853,1
18,884,1
18,889,-1
19,20,1
19,22,-1
19,25,-1
19,26,1
19,32,1
19,56,1
19,83,-1
19,136,1
19,154,-1
19,219,1
19,223,-1
19,232,-1
19,247,-1
19,266,-1
19,308,-1
19,340,1
19,356,-1
19,376,-1
19,392,-1
19,407,-1
19,430,-1
19,484,-1
19,505,1
19,506,1
19,533,1
19,559,1
19,573,1
19,578,1
19,612,-1
19,616,-1
19,638,1
19,688,1
19,691,-1
19,741,1
19,773,1
19,869,-1
19,875,1
19,883,1
19,896,-1
20,76,1
20,83,-1
20,118,1
20,134,-1
20,148,-1
20,232,1
20,262,1
20,314,-1
20,394,-1
20,405,-1
20,414,-1
20,417,-1
20,494,-1
20,637,-1
20,651,-1
20,668,-1
20,671,-1
20,681,1
20,706,1
20,739,1
20,790,1
20,804,-1
20,813,-1
20,830,-1
20,849,-1
20,875,1
20,905,1
20,914,-1
21,25,-1
21,29,-1
21,37,-1
21,75,-1
21,80,1
21,140,-1
21,156,-1
21,166,1
21,222,-1
21,236,1
21,252,-1
21,348,-1
21,378,-1
21,532,-1
21,731,1
21,945,-1
21,952,-1
22,26,1
22,55,-1
22,81,1
22,95,1
22,230,-1
22,271,-1
22,376,1
22,553,-1
22,568,1
22,656,1
22,711,-1
22,733,1
22,737,-1
23,34,1
23,47,1
23,59,1
23,80,-1
23,184,-1
23,232,1
23,422,1
23,495,1
23,527,-1
23,668,-1
23,817,-1
23,936,-1
24,30,1
24,41,-1
24,66,-1
24,103,1
24,110,-1
24,138,-1
24,150,-1
24,158,-1
24,164,1
24,204,-1
24,280,-1
24,286,1
24,294,-1
24,307,-1
24,318,1
24,336,1
24,358,-1
24,360,-1
24,363,1
24,423,1
24,451,1
24,464,1
24,490,-1
24,539,-1
24,575,-1
24,729,1
24,750,1
24,787,1
24,896,1
25,51,1
25,53,1
25,57,1
25,61,-1
25,76,1
25,77,-1
25,78,1
25,88,1
25,91,-1
25,100,-1
25,103,-1
25,106,-1
25,123,-1
25,160,1
25,178,1
25,191,-1
25,194,-1
25,198,1
25,212,-1
25,253,-1
25,258,1
25,280,1
25,367,-1
25,369,-1
25,380,-1
25,438,1
25,501,-1
25,567,1
25,670,-1
25,679,1
25,820,1
25,887,1
26,27,1
26,28,-1
26,33,1
26,36,1
26,39,1
26,45,1
26,46,-1
26,62,1
26,79,1
26,122,1
26,131,1
26,146,1
26,162,1
26,170,1
26,202,-1
26,203,1
26,205,1
26,264,-1
26,297,-1
26,310,-1
26,317,-1
26,343,-1
26,363,-1
26,486,1
26,496,-1
26,546,-1
26,549,-1
26,558,-1
26,599,1
26,609,1
26,617,-1
26,618,1
26,626,-1
26,640,-1
26,649,-1
26,692,-1
26,708,-1
26,709,1
26,728,-1
26,746,1
26,825,1
26,854,-1
26,859,1
26,877,1
26,920,-1
26,979,1
27,31,1
27,38,1
27,42,1
27,93,-1
27,109,1
27,161,-1
27,181,1
27,216,-1
27,390,1
27,519,-1
27,727,-1
27,852,1
28,33,-1
28,43,-1
28,68,-1
28,76,-1
28,80,1
28,97,-1
28,98,1
28,99,1
28,102,-1
28,134,1
28,149,1
28,164,-1
28,167,-1
28,185,1
28,191,-1
28,195,1
28,197,-1
28,211,-1
28,217,-1
28,220,1
28,234,-1
28,244,1
28,248,-1
28,251,-1
28,309,-1
28,311,-1
28,314,-1
28,328,1
28,352,-1
28,371,1
28,460,1
28,474,-1
28,478,-1
28,485,1
28,490,-1
28,491,1
28,525,1
28,581,1
28,584,1
28,633,-1
28,658,1
28,697,-1
28,699,-1
28,702,1
28,718,1
28,808,1
28,867,-1
28,947,-1
28,951,1
28,963,-1
28,975,-1
28,985,1
29,36,-1
29,39,-1
29,51,1
29,58,1
29,65,1
29,111,1
29,125,-1
29,187,-1
29,212,-1
29,278,1
29,283,1
29,285,-1
29,308,1
29,312,-1
29,317,1
29,334,1
29,348,-1
29,350,1
29,371,1
29,385,-1
29,399,1
29,400,1
29,435,1
29,507,1
29,564,-1
29,586,1
