node_A,node_B,sign
3,28,1
3,30,1
3,39,1
3,54,1
3,108,1
3,152,1
3,178,1
3,182,1
3,214,1
3,271,1
3,286,1
3,300,1
3,348,1
3,349,1
3,371,1
3,567,1
3,581,1
3,584,1
3,586,1
3,590,1
3,604,1
3,611,1
3,8283,1
3,10,1
3,6,1
3,127,1
3,19,1
3,29,1
3,34,1
3,35,1
3,94,-1
3,14,1
3,17,1
3,20,1
3,24,1
3,25,-1
3,26,1
3,41,1
3,46,1
3,47,1
3,59,1
3,73,1
3,111,1
3,138,1
3,139,1
3,143,1
3,180,1
3,223,1
3,269,1
3,284,-1
3,292,1
28,6,1
28,8,1
28,19,1
28,29,1
28,33,1
28,34,1
28,35,1
28,38,1
28,49,1
28,50,1
28,54,1
28,55,1
28,56,-1
28,61,1
28,75,1
28,80,1
28,86,1
28,94,-1
28,127,1
28,130,1
28,132,1
28,135,1
28,144,-1
28,147,1
28,150,1
28,151,1
28,152,1
28,154,1
28,163,1
28,178,1
28,182,1
28,192,-1
28,214,1
28,216,1
28,224,1
28,226,1
28,228,1
28,232,1
28,236,1
28,246,-1
28,250,1
28,252,1
28,259,1
28,261,1
28,271,1
28,273,1
28,280,1
28,282,1
28,299,1
28,301,1
28,302,-1
28,304,1
28,310,1
28,313,1
28,319,1
28,322,-1
28,325,1
28,356,1
28,370,1
28,391,1
28,396,1
28,402,1
28,405,1
28,406,1
28,415,1
28,428,1
28,435,-1
28,439,1
28,488,1
28,514,-1
28,584,1
28,587,-1
28,590,1
28,600,1
28,613,-1
28,616,1
28,627,1
28,631,1
28,636,1
28,645,-1
28,656,1
28,658,1
28,659,-1
28,667,1
28,670,-1
28,673,1
28,675,1
28,677,-1
28,681,1
28,687,-1
28,715,1
28,723,1
28,725,1
28,730,1
28,739,1
28,741,-1
28,743,1
28,746,1
28,748,1
28,750,1
28,756,1
28,789,1
28,798,1
28,857,-1
28,859,1
28,864,1
28,895,1
28,934,-1
28,958,1
28,979,-1
28,991,1
28,1014,-1
28,1026,1
28,1030,1
28,1077,-1
28,1160,-1
28,1186,1
28,1190,1
28,1201,1
28,1286,1
28,1428,1
28,1604,1
28,1608,1
28,1638,1
28,1964,1
28,2470,1
28,2479,1
28,2801,1
28,6251,1
28,8282,1
28,8284,1
28,8285,1
28,39,1
28,4,-1
28,10,1
28,243,-1
28,341,-1
28,227,1
28,440,1
28,447,-1
28,7,1
28,36,1
28,9,1
28,11,1
28,15,1
28,72,1
28,230,1
28,12,1
28,13,-1
28,14,1
28,16,1
28,17,1
28,21,1
28,24,1
28,25,1
28,26,1
28,27,1
28,31,-1
28,41,1
28,42,1
28,47,1
28,48,-1
28,53,1
28,58,1
28,59,1
28,66,1
28,73,-1
28,74,1
28,77,1
28,78,-1
28,81,-1
28,87,1
28,90,1
28,96,-1
28,101,1
28,103,1
28,104,1
28,106,-1
28,113,-1
28,120,-1
28,125,1
28,128,1
28,138,1
28,139,1
28,143,1
28,158,-1
28,161,-1
28,166,-1
28,169,1
28,187,-1
28,202,-1
28,208,1
28,211,-1
28,215,1
28,221,1
28,222,1
28,223,1
28,225,1
28,231,1
28,233,1
28,234,1
28,235,1
28,237,1
28,238,1
28,239,1
28,240,-1
28,242,-1
28,244,-1
28,245,-1
28,247,-1
28,248,-1
28,249,-1
28,275,1
28,336,1
28,366,1
28,426,-1
28,443,1
28,444,1
28,446,1
28,448,-1
28,449,-1
28,450,-1
28,451,-1
28,454,1
28,455,1
28,460,1
28,461,1
28,462,1
28,463,-1
30,1412,1
30,3352,-1
30,5254,1
30,5543,-1
30,7478,1
30,4,1
30,8,1
30,10,1
30,5,1
30,6,1
30,23,1
30,19,1
30,7,1
30,9,1
30,11,1
30,15,1
30,12,1
30,13,1
30,14,1
30,16,1
30,17,1
30,18,1
30,20,1
30,21,1
30,22,1
30,24,1
30,25,-1
39,6,1
39,8,1
39,23,-1
39,29,1
39,33,1
39,35,1
39,50,1
39,54,1
39,80,1
39,127,1
39,135,1
39,147,1
39,152,1
39,163,1
39,168,1
39,182,1
39,216,1
39,252,1
39,271,1
39,282,1
39,299,-1
39,319,1
39,325,1
39,341,1
39,407,1
39,415,1
39,549,1
39,611,1
39,613,1
39,628,1
39,631,1
39,659,1
39,706,1
39,756,1
39,779,1
39,793,1
39,822,1
39,878,1
39,1007,1
39,6123,1
39,140,1
39,34,1
39,94,-1
39,154,-1
39,192,1
39,72,1
39,26,1
39,47,-1
39,51,-1
39,90,1
39,111,1
39,165,1
39,326,-1
39,345,1
39,414,-1
39,426,1
39,536,-1
39,593,1
39,594,1
39,595,-1
39,596,-1
54,214,1
54,299,1
54,356,1
54,373,1
54,394,1
54,8,1
54,10,1
54,38,1
54,5,1
54,6,1
54,33,1
54,50,1
54,19,1
54,29,1
54,34,1
54,35,1
54,7,1
54,36,1
54,49,1
54,9,1
54,11,1
54,15,1
54,14,1
54,17,1
54,20,1
54,21,1
54,24,1
54,25,1
54,26,1
54,37,1
54,40,1
54,41,1
54,42,1
54,43,1
54,44,1
54,45,1
54,46,1
54,47,1
54,48,1
54,51,1
54,52,1
54,53,1
108,95,1
108,8283,1
108,17,1
108,77,-1
108,101,-1
108,102,-1
108,110,-1
108,115,-1
108,124,-1
108,164,-1
108,430,-1
152,35,1
152,50,1
152,55,1
152,56,1
152,75,1
152,182,1
152,192,-1
152,214,1
152,252,1
152,514,-1
152,567,1
152,581,1
152,586,-1
152,589,1
152,656,1
152,665,1
152,667,1
152,677,-1
152,1077,-1
152,8287,1
152,4,-1
152,8,1
152,38,1
152,130,1
152,127,1
152,29,1
152,94,-1
152,132,1
152,280,1
152,579,-1
152,36,1
152,224,1
152,15,1
152,72,-1
152,575,1
152,14,1
152,25,1
152,26,1
152,27,1
152,46,1
152,47,1
152,59,1
152,66,1
152,73,-1
152,101,1
152,104,1
152,113,1
152,122,1
152,158,1
152,165,1
152,166,1
152,197,1
152,205,1
152,275,1
152,326,1
152,353,-1
152,365,1
152,426,1
152,497,1
152,561,-1
152,570,-1
152,576,1
152,577,1
152,578,1
178,72,-1
178,182,1
178,183,1
178,228,1
178,271,1
178,282,1
178,313,1
178,371,1
178,396,1
178,405,1
178,429,1
178,560,1
178,564,1
178,590,1
178,600,1
178,606,-1
178,616,1
178,673,-1
178,704,1
178,719,1
178,723,1
178,730,1
178,741,-1
178,798,1
178,817,1
178,829,-1
178,838,-1
178,844,1
178,866,-1
178,895,1
178,906,-1
178,958,1
178,983,-1
178,993,1
178,994,1
178,1014,1
178,1185,-1
178,1482,1
178,1733,1
178,1799,1
178,1893,1
178,1966,1
178,2073,1
178,2145,1
178,2210,-1
178,2381,1
178,2398,1
178,3634,1
178,3755,-1
178,3897,1
178,4297,1
178,4483,1
178,4578,1
178,4646,1
178,4715,1
178,5412,1
178,5684,1
178,5804,1
178,6006,1
178,6098,1
178,7699,1
178,8288,-1
178,8,1
178,232,1
178,6,1
178,33,1
178,127,1
178,154,1
178,236,1
178,280,1
178,406,1
178,432,1
178,439,1
178,440,1
178,150,1
178,11,1
178,13,1
178,14,1
178,42,1
178,47,1
178,67,1
178,74,1
178,104,1
178,136,1
178,215,1
178,231,1
178,237,1
178,268,1
178,292,1
178,340,1
178,412,1
178,426,1
178,438,1
178,441,1
182,56,-1
182,86,1
182,183,1
182,204,1
182,243,-1
182,271,1
182,299,-1
182,310,1
182,405,-1
182,407,-1
182,427,1
182,432,-1
182,590,1
182,600,1
182,644,1
182,647,1
182,650,1
182,656,1
182,659,-1
182,667,1
182,694,-1
182,723,1
182,750,1
182,762,-1
182,805,1
182,857,-1
182,878,1
182,895,1
182,966,-1
182,971,1
182,972,1
182,977,1
182,982,1
182,993,1
182,1006,1
182,1007,1
182,1026,1
182,1043,1
182,1092,-1
182,1127,1
182,1128,1
182,1131,1
182,1151,-1
182,1156,1
182,1167,1
182,1186,1
182,1297,1
182,1305,1
182,1357,1
182,1374,-1
182,1396,1
182,1416,1
182,1464,1
182,1473,1
182,1484,-1
182,1525,1
182,1569,-1
182,1718,-1
182,1754,1
182,1864,-1
182,1919,1
182,2328,1
182,2329,1
182,2625,1
182,2653,1
182,2696,1
182,2697,1
182,2774,1
182,2775,-1
182,2777,-1
182,3192,1
182,3251,1
182,3253,1
182,3537,1
182,3787,1
182,4037,-1
182,4256,1
182,6400,1
182,7620,-1
182,8,1
182,38,1
182,130,1
182,151,1
182,6,1
182,19,1
182,236,1
182,319,1
182,72,1
182,14,1
182,20,1
182,25,1
182,26,1
182,27,1
182,43,1
182,46,1
182,47,1
182,103,1
182,142,1
182,143,1
182,157,1
182,180,1
182,263,1
182,275,1
182,383,1
182,426,1
182,580,1
214,4,-1
214,8,1
214,10,1
214,55,1
214,56,1
214,645,1
214,650,-1
214,23,-1
214,33,1
214,19,1
214,29,1
214,35,1
214,86,-1
214,94,1
214,290,1
214,319,1
214,356,-1
214,407,-1
214,791,1
214,871,-1
214,960,-1
214,978,-1
214,993,1
214,1055,-1
214,1125,-1
214,1465,1
214,1471,-1
214,1549,1
214,1701,1
214,1982,-1
214,32,-1
214,1919,1
214,49,-1
214,192,1
214,9,-1
214,1717,1
214,11,1
214,15,1
214,204,-1
214,722,-1
214,763,-1
214,941,-1
214,1006,1
214,1151,1
214,1305,1
214,1585,-1
214,1608,1
214,1729,-1
214,1769,1
214,1836,1
214,2508,1
214,2565,1
214,2871,-1
214,12,-1
214,663,-1
214,13,-1
214,14,-1
214,17,1
214,18,-1
214,20,-1
214,24,-1
214,769,1
214,1705,1
214,2371,1
214,2822,1
214,25,-1
214,26,1
214,1166,1
214,2297,-1
214,40,1
214,42,-1
214,44,-1
214,46,1
214,47,-1
214,48,1
214,51,1
214,784,1
214,59,1
214,2174,1
214,67,1
214,71,-1
214,73,1
214,77,1
214,78,-1
214,79,-1
214,81,-1
214,2256,-1
214,90,1
214,104,-1
214,113,-1
214,120,-1
214,125,1
214,346,-1
214,128,1
214,143,1
214,145,1
214,155,1
214,166,1
214,172,-1
214,173,-1
214,177,-1
214,181,-1
214,185,1
214,187,1
214,188,1
214,189,1
214,190,1
214,191,1
214,194,-1
214,195,-1
214,196,-1
214,197,-1
214,198,-1
214,199,-1
214,200,-1
214,201,-1
214,202,-1
214,203,-1
214,205,-1
214,206,-1
214,207,-1
214,208,-1
214,209,-1
214,210,-1
214,315,1
214,336,-1
214,364,-1
214,387,-1
214,423,1
214,467,1
214,546,-1
214,583,-1
214,634,-1
214,640,-1
214,679,1
214,689,-1
214,2647,1
214,727,-1
214,865,-1
214,912,1
214,1085,-1
214,1126,1
214,1129,-1
214,1179,-1
214,1184,1
214,1380,-1
214,1500,-1
214,1614,1
214,1741,-1
214,1751,1
214,2133,1
214,2230,1
214,2296,1
214,2472,1
214,2502,-1
214,2557,1
214,2559,1
214,2676,1
214,2778,1
214,2860,1
214,2861,1
214,2862,1
214,2863,1
214,2864,1
214,2865,1
214,2866,-1
214,2867,-1
214,2868,-1
214,2869,-1
214,2870,-1
214,2872,-1
271,348,1
271,371,1
271,8,1
271,10,1
271,55,-1
271,130,1
271,147,1
271,151,1
271,232,1
271,560,1
271,645,1
271,650,1
271,659,1
271,6,1
271,23,1
271,50,1
271,89,1
271,127,1
271,163,1
271,19,1
271,29,-1
271,35,1
271,80,1
271,86,1
271,94,1
271,132,1
271,227,1
271,236,1
271,257,1
271,258,1
271,259,1
271,280,1
271,290,1
271,304,1
271,306,1
271,317,1
271,319,1
271,339,1
271,405,1
271,439,1
271,600,1
271,673,1
271,704,-1
271,730,1
271,789,1
271,791,-1
271,895,-1
271,971,1
271,978,1
271,1062,1
271,7,1
271,36,1
271,224,1
271,255,1
271,308,1
271,310,1
271,488,1
271,636,1
271,637,1
271,674,1
271,882,1
271,9,1
271,11,1
271,72,-1
271,334,1
271,644,1
271,707,1
271,710,1
271,762,-1
271,805,1
271,937,1
271,943,1
271,946,1
271,947,1
271,956,1
271,1034,1
271,1080,1
271,663,1
271,697,1
271,13,1
271,14,1
271,974,-1
271,17,1
271,20,1
271,321,1
271,981,1
271,21,1
271,794,1
271,1029,-1
271,24,1
271,311,1
271,633,1
271,742,1
271,769,1
271,25,1
271,26,1
271,27,1
271,1038,1
271,41,1
271,42,1
271,46,1
271,47,1
271,48,1
271,51,-1
271,795,1
271,57,1
271,58,1
271,59,1
271,68,1
271,71,1
271,74,1
271,77,1
271,79,1
271,87,1
271,90,1
271,99,1
271,103,1
271,110,-1
271,111,1
271,125,-1
271,126,1
271,128,1
271,138,1
271,139,1
271,142,1
271,143,1
271,145,1
271,157,-1
271,166,-1
271,173,1
271,948,1
271,176,1
271,180,1
271,181,1
271,191,-1
271,201,1
271,209,1
271,215,1
271,231,-1
271,235,1
271,237,1
271,241,1
271,263,1
271,264,1
271,265,1
271,266,1
271,267,1
271,268,1
271,269,1
271,270,1
271,312,1
271,318,1
271,336,1
271,340,1
271,399,1
271,400,1
271,445,1
271,457,1
271,458,1
271,556,1
271,634,1
271,635,1
271,639,1
271,695,-1
271,708,1
271,727,1
271,759,1
271,766,1
271,808,1
271,865,-1
271,870,1
271,872,1
271,911,1
271,914,1
271,944,1
271,949,1
271,1009,1
271,1013,-1
271,1028,1
271,1033,-1
271,1066,1
271,1078,1
271,1079,1
271,1081,1
271,1082,1
271,1083,1
271,1084,-1
286,8,1
286,10,1
286,282,1
286,6,1
286,19,1
286,29,1
286,94,-1
286,261,1
286,285,1
286,11,1
286,12,1
286,20,1
286,25,-1
286,26,1
286,42,1
286,46,1
286,47,1
286,284,-1
300,8,1
300,10,-1
300,282,-1
300,6,1
300,23,1
300,29,1
300,35,1
300,236,1
300,25,-1
300,26,1
300,46,1
300,47,-1
300,78,-1
300,92,1
300,111,1
300,142,-1
300,162,1
300,202,-1
300,231,-1
300,247,-1
300,295,1
348,86,1
348,325,1
348,439,1
348,665,-1
348,686,1
348,697,1
348,704,1
348,769,1
348,817,1
348,878,1
348,941,1
348,981,1
348,1022,1
348,1128,1
348,1156,1
348,1418,1
348,1419,1
348,2264,1
348,2501,-1
348,2612,1
348,8,1
348,55,1
348,140,1
348,341,1
348,6,1
348,29,1
348,35,1
348,94,1
348,154,1
348,236,1
348,273,1
348,36,1
348,9,1
348,20,1
348,24,1
348,25,1
348,26,1
348,27,1
348,42,1
348,46,1
348,87,1
348,346,1
348,128,1
348,133,1
348,179,1
348,187,1
348,215,1
348,221,1
348,222,1
348,223,1
348,269,1
348,326,1
348,344,1
348,345,1
349,613,1
349,8,1
349,140,1
349,6,1
349,94,-1
349,236,1
349,12,1
349,302,1
349,25,-1
349,26,1
349,133,-1
349,136,1
349,142,-1
349,179,1
349,180,1
371,15,-1
371,29,1
371,56,1
371,72,1
371,86,1
371,204,1
371,228,1
371,255,1
371,282,1
371,299,1
371,304,1
371,310,1
371,313,1
371,317,1
371,373,1
371,432,1
371,439,1
371,447,1
371,567,1
371,590,1
371,600,1
371,627,1
371,643,1
371,658,1
371,659,1
371,664,1
371,677,1
371,686,1
371,704,1
371,717,1
371,730,1
371,733,1
371,737,1
371,739,1
371,746,1
371,756,1
371,762,1
371,789,1
371,823,1
371,844,1
371,849,1
371,857,1
371,868,1
371,878,1
371,881,1
371,882,1
371,885,1
371,895,1
371,897,1
371,936,1
371,945,1
371,958,1
371,960,1
371,977,1
371,991,1
371,1023,1
371,1026,1
371,1031,1
371,1032,1
371,1044,1
371,1053,1
371,1157,1
371,1186,1
371,1196,1
371,1201,1
371,1211,-1
371,1222,1
371,1260,-1
371,1261,1
371,1297,1
371,1310,1
